order_id,order_date,amount,product_id
1,02-01-2025,250,101
2,05-01-2025,180,102
3,15-01-2025,320,103
4,22-01-2025,150,104
5,03-02-2025,400,105
6,07-02-2025,275,106
7,14-02-2025,390,107
8,28-02-2025,210,108
9,02-03-2025,310,109
10,05-03-2025,430,110
11,14-03-2025,200,111
12,28-03-2025,370,112
13,03-04-2025,480,113
14,09-04-2025,260,114
15,15-04-2025,340,115
16,20-04-2025,290,116
17,02-05-2025,410,117
18,08-05-2025,360,118
19,13-05-2025,420,119
20,25-05-2025,310,120
21,01-06-2025,250,121
22,10-06-2025,380,122
23,16-06-2025,410,123
24,25-06-2025,270,124
25,03-07-2025,340,125
26,09-07-2025,295,126
27,15-07-2025,410,127
28,22-07-2025,260,128
29,01-08-2025,390,129
30,08-08-2025,310,130
31,12-08-2025,420,131
32,27-08-2025,280,132
33,03-09-2025,460,133
34,10-09-2025,320,134
35,16-09-2025,350,135
36,25-09-2025,410,136
37,02-10-2025,370,137
38,06-10-2025,250,138
39,11-10-2025,420,139
40,20-10-2025,310,140
41,01-11-2025,440,141
42,07-11-2025,360,142
43,15-11-2025,330,143
44,22-11-2025,410,144
45,03-12-2025,390,145
46,08-12-2025,455,146
